symbol	tier	n_sources	sources	has_strong_assertion	in_mitotic_panel	assertions
ALG1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG1-congenital disorder of glycosylation (Definitive) | ALG1-related congenital disorder of glycosylation () | Intellectual disability (confidence 3)
ALG11	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG11-congenital disorder of glycosylation (Moderate) | ALG11-related congenital disorder of glycosylation () | Intellectual disability (confidence 3)
ALG12	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG12-congenital disorder of glycosylation (Definitive) | ALG12-related congenital disorder of glycosylation () | Intellectual disability (confidence 3)
ALG13	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG13-related congenital disorder of glycosylation () | Intellectual disability (confidence 3) | genetic developmental and epileptic encephalopathy (Definitive)
ALG2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG2-congenital disorder of glycosylation (Strong) | ALG2-related congenital disorder of glycosylation () | Intellectual disability (confidence 1)
ALG3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG3-congenital disorder of glycosylation (Definitive) | ALG3-related congenital disorder of glycosylation () | Intellectual disability (confidence 3)
ALG5	1	2	ClinGen,PanelApp	yes	no	Cystic renal disease (confidence 3) | autosomal dominant polycystic kidney disease (Moderate)
ALG6	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG6-congenital disorder of glycosylation 1C (Definitive) | ALG6-related congenital disorder of glycosylation () | Intellectual disability (confidence 3) | cystic kidney disease (Limited)
ALG8	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG8-related congenital disorder of glycosylation () | Cystic renal disease (confidence 3) | Intellectual disability (confidence 3) | autosomal dominant polycystic kidney disease (Definitive)
ALG9	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALG9-associated autosomal dominant polycystic kidney disease (Definitive) | ALG9-related congenital disorder of glycosylation () | Cystic renal disease (confidence 3) | Intellectual disability (confidence 3)
ALK	1	2	ClinGen,PanelApp	yes	no	Childhood solid tumours (confidence 3) | Childhood solid tumours cancer susceptibility (confidence 3) | neuroblastoma, susceptibility to, 3 (Definitive)
ALKBH8	1	2	PanelApp,gene2phenotype	yes	no	ALKBH8-related intellectual disability, microcephaly and seizures () | Intellectual disability (confidence 3)
ALMS1	1	4	ClinGen,PanelApp,gene2phenotype,mitotic_panel	yes	yes	ALMS1-related Alstrom syndrome () | Alstrom syndrome (Definitive) | Cystic renal disease (confidence 3) | Intellectual disability (confidence 3) | tier 3
ALPL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALPL-related autosomal dominant hypophosphatasia (Definitive) | ALPL-related autosomal recessive hypophosphatasia (Definitive) | ALPL-related hypophosphatasia () | Intellectual disability (confidence 2)
ALS2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALS2-related disorder () | ALS2-related motor neuron disease (Definitive) | Intellectual disability (confidence 1)
ALX1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALX1-related frontonasal dysplasia () | Intellectual disability (confidence 1) | frontonasal dysplasia - severe microphthalmia - severe facial clefting syndrome (Definitive)
ALX3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALX3-related frontonasal dysplasia () | Intellectual disability (confidence 2) | frontorhiny (Definitive)
ALX4	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALX4-related frontonasal dysplasia () | ALX4-related parietal foramina () | Intellectual disability (confidence 2) | frontonasal dysplasia with alopecia and genital anomaly (Definitive)
AMER1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AMER1-related osteopathia striata with cranial sclerosis () | Intellectual disability (confidence 3) | osteopathia striata with cranial sclerosis (Definitive)
AMPD2	1	2	PanelApp,gene2phenotype	yes	no	AMPD2-related pontocerebellar hypoplasia () | Intellectual disability (confidence 3)
AMT	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AMT-related glycine encephalopathy () | Intellectual disability (confidence 3) | glycine encephalopathy (Definitive)
ANAPC1	1	3	ClinGen,gene2phenotype,mitotic_panel	yes	yes	ANAPC1-related Rothmund-Thomson syndrome () | Rothmund-Thomson syndrome type 1 (Moderate) | tier 2
ANK2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ANK2-related neurodevelopmental disorder () | Brugada syndrome (Disputed) | Intellectual disability (confidence 3) | catecholaminergic polymorphic ventricular tachycardia (Disputed) | complex neurodevelopmental disorder (Definitive) | long QT syndrome (Disputed)
ANK3	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | intellectual disability (Moderate)
ANKRD11	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ANKRD11-related KBG syndrome () | Intellectual disability (confidence 3) | KBG syndrome (Definitive)
ANKRD17	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ANKRD17-related neurodevelopmental disorder () | Intellectual disability (confidence 3) | syndromic complex neurodevelopmental disorder (Definitive)
ANKRD26	1	2	ClinGen,gene2phenotype	yes	no	ANKRD26-related thrombocytopenia () | thrombocytopenia 2 (Definitive)
ANKS6	1	2	ClinGen,PanelApp	yes	no	Cystic renal disease (confidence 3) | nephronophthisis 16 (Definitive)
ANO10	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | autosomal recessive spinocerebellar ataxia 10 (Definitive)
ANO5	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ANO5-related gnathodiaphyseal dysplasia () | Intellectual disability (confidence 2) | autosomal recessive limb-girdle muscular dystrophy (Definitive) | gnathodiaphyseal dysplasia (Definitive)
ANTXR1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ANTXR1-related GAPO syndrome () | GAPO syndrome (Definitive) | Intellectual disability (confidence 2)
AP1B1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP1B1-related keratitis-ichthyosis-deafness syndrome (KIDAR) () | Intellectual disability (confidence 2) | ichthyosiform erythroderma, corneal involvement, and hearing loss (Definitive)
AP1G1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP1G1-related intellectual disability () | AP1G1-related intellectual disability and epilepsy () | Intellectual disability (confidence 3) | complex neurodevelopmental disorder (Limited) | complex neurodevelopmental disorder (Strong)
AP1S1	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | MEDNIK syndrome (Definitive)
AP1S2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP1S2-related intellectual developmental disorder () | Intellectual disability (confidence 3) | X-linked syndromic complex neurodevelopmental disorder (Definitive)
AP2M1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP2M1-related developmental and epileptic encephalopathy () | Intellectual disability (confidence 3) | complex neurodevelopmental disorder (Definitive)
AP3B1	1	2	ClinGen,PanelApp	yes	no	Hermansky-Pudlak syndrome 2 (Definitive) | Intellectual disability (confidence 3)
AP3B2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP3B2-related epileptic encephalopathy with optic atrophy () | Intellectual disability (confidence 3) | genetic developmental and epileptic encephalopathy (Definitive)
AP4B1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP-4 deficiency syndrome (Definitive) | AP4B1-related cerebral palsy spastic quadriplegic () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 2)
AP4E1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP-4 deficiency syndrome (Definitive) | AP4E1-related cerebral palsy spastic quadriplegic () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
AP4M1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP-4 deficiency syndrome (Definitive) | AP4M1-related cerebral palsy spastic quadriplegic () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 2)
AP4S1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AP-4 deficiency syndrome (Definitive) | AP4S1-related cerebral palsy spastic quadriplegic () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 2)
AP5Z1	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | hereditary spastic paraplegia (Definitive)
APC	1	3	ClinGen,PanelApp,mitotic_panel	yes	yes	Additional findings health related - children (confidence 3) | Childhood solid tumours (confidence 3) | Childhood solid tumours cancer susceptibility (confidence 3) | classic or attenuated familial adenomatous polyposis (Definitive) | gastric adenocarcinoma and proximal polyposis of the stomach (Definitive) | tier 3
APC2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	APC2-related lissencephaly, subcortical heterotopia, and global developmental delay () | Intellectual disability (confidence 3) | lissencephaly spectrum disorders (Strong)
APOB	1	2	ClinGen,PanelApp	yes	no	Additional findings health related - children (confidence 3) | familial hypobetalipoproteinemia 1 (Definitive) | hypercholesterolemia, autosomal dominant, type B (Definitive)
AR	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AR-related androgen insensitivity syndrome () | AR-related spinal and bulb muscul atrophy () | Intellectual disability (confidence 1) | Kennedy disease (Definitive)
ARCN1	1	2	PanelApp,gene2phenotype	yes	no	ARCN1-related microcephalic dwarfism () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 2)
ARF1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ARF1-related periventricular nodular heterotopia () | Intellectual disability (confidence 3) | periventricular nodular heterotopia (Definitive)
